datetime,temp,feelslike,humidity,precip,preciptype,windspeed,visibility,cloudcover,uvindex,icon
2011-04-20,2.1,-1.2,81.0,0.0,,32.0,11.5,90.8,6,cloudy
2011-04-21,5.2,4.3,64.8,0.0,,26.0,13.6,29.9,8,partly-cloudy-day
2011-04-22,5.0,1.0,89.8,10.65,rain,31.0,7.3,100.0,4,rain
2011-04-23,9.7,8.9,74.4,0.0,,24.1,12.0,93.9,9,cloudy
2011-04-24,9.6,9.3,62.5,0.0,,10.7,15.9,78.9,8,partly-cloudy-day
2011-04-25,11.0,10.8,63.3,0.797,rain,27.8,14.6,42.0,7,rain
2011-04-26,10.0,8.4,88.9,20.256,rain,44.0,8.4,99.6,7,rain
2011-04-27,6.9,5.7,81.7,0.619,rain,13.9,13.9,97.9,7,rain
2011-04-28,5.0,1.8,79.5,0.242,rain,23.2,14.9,99.6,4,rain
2011-04-29,9.7,9.4,55.3,0.0,,20.1,16.0,1.8,10,clear-day
2011-04-30,15.2,14.5,53.5,0.242,rain,46.0,16.0,74.6,8,rain
2011-05-01,9.7,8.5,52.0,0.0,,29.9,16.0,21.5,9,partly-cloudy-day
2011-05-02,6.3,4.9,56.9,0.0,,20.8,16.0,25.3,9,partly-cloudy-day
2011-05-03,3.6,2.1,72.2,0.0,,15.8,14.8,78.7,6,partly-cloudy-day
2011-05-04,7.7,7.6,57.0,0.0,,16.2,14.6,1.9,10,clear-day
2011-05-05,10.4,9.2,63.6,0.645,rain,28.7,13.5,49.6,7,rain
2011-05-06,12.7,12.6,55.1,0.0,,21.6,14.5,52.0,8,partly-cloudy-day
2011-05-07,12.3,11.9,57.1,0.008,rain,26.1,16.0,51.7,4,rain
2011-05-08,12.6,12.6,61.3,0.0,,28.6,14.0,20.1,9,partly-cloudy-day
2011-05-09,14.0,13.9,59.6,1.749,rain,37.9,15.2,61.8,8,rain
2011-05-10,21.7,21.9,59.8,0.0,,27.0,12.5,39.0,4,partly-cloudy-day
2011-05-11,20.3,20.5,82.1,20.842,rain,23.7,6.9,28.3,4,rain
2011-05-12,21.2,21.3,75.5,0.0,,19.5,7.9,37.0,6,partly-cloudy-day
2011-05-13,15.7,15.7,89.1,3.294,rain,30.6,9.2,81.3,5,rain
2011-05-14,9.5,7.4,86.2,2.204,rain,37.7,14.1,100.0,3,rain
2011-05-15,10.6,8.7,51.1,0.245,rain,41.3,15.9,65.4,8,rain
2011-05-16,9.2,7.7,43.3,0.0,,32.0,16.0,1.8,10,clear-day
2011-05-17,10.5,10.1,48.6,0.0,,23.1,16.0,0.0,10,clear-day
2011-05-18,11.2,10.8,79.3,1.584,rain,20.2,12.8,81.5,3,rain
